label,fu,fb,fv,fr,fi,fj,nuv,enuv,fuv,efuv,Vr,ra (deg),dec (deg)
3,6,0,0,0,0,0,19.49,0.02,20.67,0.06,-182,10.45,41.38
1,6,0,0,0,0,0,21.18,0.06,999,999,-352,10.45,41.02
1,6,6,6,6,6,0,21.32,0.07,999,999,-364,10.46,41.2
1,6,0,0,0,0,0,20.04,0.02,21.27,0.05,-74,10.46,40.96
1,0,0,0,0,0,5,16.81,0,16.82,0.01,99999,10.47,40.87
1,0,0,0,0,0,0,19.38,0.02,20.91,0.08,-313,10.47,40.79
1,6,6,0,0,0,0,21.07,0.03,999,999,-425,10.48,41.18
1,0,0,0,0,0,0,19.6,0.03,20.46,0.06,-290,10.49,41.09
1,6,0,0,0,0,0,999,999,999,999,-458,10.5,41.49
5,13,0,0,0,0,1,22.39,0.24,999,999,-233,10.5,41.64
1,0,0,0,0,0,0,20.67,0.06,999,999,-706,10.5,41.49
1,0,0,0,0,0,0,20.34,0.04,20.96,0.08,-337,10.51,41.19
1,6,6,6,6,6,0,20.08,0.02,22.83,0.16,-251,10.51,40.67
1,7,7,6,7,6,0,20.75,0.02,999,999,-252,10.51,40.75
1,0,0,0,0,0,3,999,999,999,999,-186,10.51,41.07
1,0,0,0,0,0,0,21.57,0.13,999,999,-514,10.51,40.98
1,0,0,0,0,0,0,999,999,999,999,-243,10.52,41.44
1,0,0,6,0,6,0,20.24,0.02,22.09,0.1,-141,10.53,41.13
1,7,0,0,0,0,0,21.7,0.14,999,999,-481,10.53,41.2
1,6,0,0,0,0,0,21.98,0.22,999,999,-128,10.53,41.38
1,0,0,0,0,0,0,21.21,0.07,999,999,-202,10.53,40.99
1,0,0,0,0,0,0,21.74,0.16,999,999,-102,10.53,41.72
1,6,0,0,0,6,0,999,999,999,999,-549,10.54,41.34
1,0,0,0,0,0,0,20.45,0.02,21.76,0.07,-371,10.54,41.09
1,0,0,6,0,0,0,19.46,0.03,20.69,0.08,-597,10.55,41.13
1,6,0,6,0,0,0,999,999,999,999,-219,10.55,41.3
5,6,0,0,0,0,0,16.37,0.01,16.68,0.01,-570,10.55,41.49
1,6,6,6,0,0,0,999,999,999,999,-270,10.55,41.32
1,6,6,6,6,6,0,21.63,0.12,999,999,-338,10.56,40.81
1,0,0,0,0,0,0,19.86,0.03,21.14,0.09,-181,10.57,41.02
1,0,0,0,0,0,0,18.36,0.01,18.7,0.02,-437,10.57,41.76
1,6,6,6,6,6,0,999,999,999,999,-358,10.57,41.32
1,6,6,6,6,6,0,21.46,0.13,999,999,-129,10.58,40.67
1,6,6,6,6,7,0,21.88,0.12,999,999,-373,10.58,41.23
1,0,0,0,0,0,0,21.57,0.11,999,999,-268,10.59,41.54
3,0,0,0,0,0,0,999,999,999,999,-372,10.59,41.66
1,6,6,6,6,6,0,21.83,0.2,22.9,0.37,-231,10.59,41.05
1,6,6,0,6,6,0,999,999,999,999,-237,10.59,41.37
1,0,0,0,0,0,0,20.65,0.07,20.92,0.12,-98,10.59,41.14
1,0,0,0,0,0,0,21.59,0.11,999,999,-358,10.6,41.36
1,0,0,0,0,0,0,999,999,999,999,-338,10.6,40.95
1,0,0,0,6,1,0,20.14,0.02,21.17,0.06,-424,10.61,41.09
1,0,0,0,0,0,0,20.53,0.02,21.48,0.06,-352,10.61,41.32
1,0,0,0,0,0,0,22.31,0.15,999,999,-424,10.61,41.43
1,0,0,0,0,0,0,19.9,0.02,20.8,0.06,-360,10.61,40.99
1,0,0,0,0,0,0,20.13,0.04,20.98,0.09,-307,10.62,41.17
1,6,6,6,6,6,0,999,999,999,999,99999,10.62,40.83
1,0,0,0,0,0,0,20.77,0.12,20.84,0.14,-440,10.62,41.14
4,0,0,0,0,0,0,20.15,0.03,21.09,0.08,-413,10.62,41.57
1,0,0,0,0,0,1,20.05,0.05,20.89,0.09,-529,10.62,41.3
1,6,6,0,6,0,0,999,999,999,999,-278,10.62,41.29
1,0,0,0,0,0,0,21.52,0.18,999,999,-321,10.63,41.51
1,0,0,0,0,0,0,21.91,0.08,999,999,-35,10.63,41.21
1,0,6,0,0,0,0,999,999,999,999,-228,10.63,41.33
1,6,0,0,0,0,0,20.19,0.04,21.14,0.11,-641,10.63,41.15
1,0,0,0,0,0,0,17.82,0.01,18.15,0.02,-535,10.63,41.17
1,0,0,0,0,0,0,21.59,0.1,999,999,-512,10.64,41.06
1,0,0,0,0,0,0,21.01,0.04,999,999,-258,10.64,41.01
1,0,0,0,0,0,0,20.32,0.02,21.49,0.06,-31,10.64,41.3
3,6,6,6,6,9,0,19.99,0.03,21.47,0.1,-35,10.64,41.36
1,0,0,0,0,0,9,20.78,0.11,22.02,0.26,-72,10.64,41.21
1,0,0,0,0,0,0,20.48,0.04,999,999,-539,10.64,41.23
1,6,0,0,0,0,0,20.76,0.06,21.26,0.12,-175,10.64,41.55
1,7,0,0,0,0,0,20.26,0.02,22.1,0.08,-251,10.64,40.95
3,6,6,6,6,21,0,20.97,0.04,999,999,-216,10.64,41.25
1,6,6,6,6,6,0,999,999,999,999,-291,10.65,41.29
1,6,6,6,6,6,0,22.02,0.08,999,999,-325,10.67,41.56
1,6,6,0,0,0,0,21.82,0.12,999,999,-25,10.67,41.18
1,0,6,0,7,0,0,21.33,0.1,21.69,0.15,-251,10.67,41.26
1,6,6,6,6,6,0,20.47,0.03,21.94,0.12,-521,10.68,41.09
1,6,6,6,6,7,0,20.09,0.02,21.11,0.05,-164,10.68,41.21
1,0,7,0,7,0,5,999,999,999,999,99999,10.69,41.24
1,6,0,0,0,0,0,22.16,0.07,999,999,-321,10.7,41.19
1,6,6,6,6,7,0,21.02,0.07,999,999,-247,10.7,41.42
1,6,0,0,0,0,0,20.59,0.02,21.64,0.05,-67,10.7,41.5
1,6,6,6,6,7,0,21.31,0.2,999,999,-369,10.71,41.29
1,6,6,0,6,0,0,20.27,0.02,21.67,0.05,-143,10.71,41.26
4,6,6,6,6,6,0,999,999,999,999,-272,10.72,41.39
1,0,0,0,0,0,0,20.58,0.02,21.84,0.06,-178,10.72,41.23
1,0,0,0,0,0,0,999,999,999,999,-374,10.72,41.52
1,0,0,6,0,0,0,20.92,0.04,999,999,-215,10.72,41.33
1,6,0,0,0,0,0,21.81,0.07,999,999,-285,10.72,41.54
1,6,6,6,6,6,0,21.7,0.13,22.22,0.17,-260,10.73,41.31
1,6,6,6,6,6,0,21.1,0.05,21.42,0.07,-285,10.74,41.15
1,6,6,6,6,6,0,20.25,0.06,21.41,0.14,-60,10.75,41.55
1,0,0,0,0,0,0,21.03,0.05,999,999,-460,10.75,41.32
1,6,6,6,6,7,5,999,999,999,999,99999,10.75,41.27
1,6,0,0,6,6,0,20.75,0.02,22.12,0.07,-435,10.76,41.21
1,6,6,0,6,0,0,20.87,0.03,21.93,0.08,-161,10.76,41.26
1,6,6,6,6,7,0,21.93,0.07,999,999,-199,10.76,41.36
1,0,0,6,0,0,0,22.04,0.17,999,999,-272,10.77,41.3
1,0,0,0,0,0,0,999,999,999,999,-300,10.77,41.57
1,0,0,0,0,0,0,999,999,999,999,-408,10.78,41.34
1,0,0,0,0,0,0,22.06,0.18,999,999,-348,10.79,41.36
1,0,0,0,0,0,0,20.36,0.03,21.2,0.07,-293,10.79,41.3
1,0,0,0,0,0,0,999,999,999,999,-140,10.79,41.25
1,6,6,6,6,6,0,20.47,0.03,21.77,0.08,-467,10.8,41.27
1,6,0,0,0,0,1,20.81,0.11,999,999,-200,10.81,41.06
1,0,0,0,0,0,0,20.35,0.05,999,999,-484,10.81,41.02
1,6,0,0,6,0,0,999,999,999,999,-199,10.81,41.19
1,0,0,0,0,0,0,20.72,0.07,21.85,0.17,-301,10.81,41.12
1,0,0,0,0,0,0,999,999,999,999,-308,10.81,41.42
1,0,0,0,0,0,1,20.55,0.02,21.68,0.06,-371,10.81,41.03
1,0,0,0,0,0,0,22.72,0.15,999,999,-457,10.81,41.19
1,0,0,0,0,0,0,22.41,0.2,999,999,-545,10.82,41.4
1,0,0,0,0,0,0,20.87,0.1,999,999,-207,10.82,41.46
1,6,0,0,0,0,0,22.59,0.12,999,999,-319,10.83,41.21
1,0,0,0,0,0,0,22.06,0.07,999,999,-170,10.83,41.18
3,0,0,0,0,0,0,999,999,999,999,-337,10.84,41.21
1,6,0,0,0,0,0,20.7,0.02,21.89,0.06,50,10.84,41.24
1,6,0,6,6,6,0,20.72,0.07,21.61,0.16,-414,10.84,41.73
1,6,0,0,6,0,0,22.51,0.07,999,999,-310,10.85,41.26
1,0,0,0,0,0,0,999,999,999,999,-138,10.85,40.84
1,6,6,6,6,7,0,20.43,0.05,999,999,-333,10.86,41.26
1,0,0,0,0,0,0,21.38,0.04,999,999,-86,10.86,41.36
1,6,6,6,6,0,0,999,999,999,999,-338,10.87,41.38
1,0,0,0,0,0,0,999,999,999,999,-381,10.88,41.65
1,0,0,0,0,0,0,19.35,0.01,19.55,0.02,-74,10.88,40.82
1,0,0,6,0,0,0,20.47,0.02,22.35,0.17,-13,10.88,41.1
1,0,0,0,0,0,0,21.56,0.05,22.68,0.2,-180,10.88,41.35
1,0,0,0,0,0,0,20.6,0.03,22.24,0.11,-526,10.88,41.3
1,0,0,0,0,0,0,22.18,0.09,999,999,-114,10.88,41.13
1,0,0,0,0,0,0,999,999,999,999,-283,10.89,41.49
1,0,0,0,0,0,0,20.7,0.03,22.03,0.08,-341,10.9,41.14
1,0,0,0,0,0,0,21.43,0.05,22.33,0.17,-186,10.9,41.03
1,6,0,0,0,0,0,21.55,0.08,23.11,0.26,-382,10.91,41.61
1,0,0,0,0,0,0,21.02,0.07,999,999,-434,10.91,41.25
1,6,0,0,0,0,0,21.73,0.1,999,999,-406,10.91,41.61
1,0,0,0,0,0,0,21.42,0.1,22.26,0.23,-206,10.91,41.5
1,0,0,0,0,0,0,20.54,0.06,21.27,0.13,-489,10.92,41.41
1,0,0,0,0,0,0,22.29,0.18,999,999,-447,10.93,41.59
1,0,0,0,0,0,0,22.85,0.18,999,999,-188,10.93,41.57
5,7,19,19,19,7,0,999,999,999,999,-379,10.93,40.73
1,6,6,6,6,6,5,999,999,999,999,99999,10.94,41.62
1,0,0,0,0,0,5,20.99,0.09,21.71,0.2,-400,10.94,41.62
1,0,0,0,0,0,0,19.72,0.05,20.64,0.05,-299,10.94,41.1
1,6,0,0,0,0,0,20.83,0.07,21.82,0.17,-520,10.95,41.04
1,7,19,7,19,7,0,21.75,0.09,999,999,-331,10.95,40.71
1,6,0,0,0,0,0,999,999,999,999,-347,10.96,41.5
1,6,6,0,0,0,0,21.11,0.04,22.69,0.13,16,10.96,41.53
1,6,0,0,0,0,0,20.96,0.03,23.09,0.15,-356,10.96,40.97
1,6,6,0,0,0,0,21.17,0.09,999,999,-431,10.96,41.49
1,0,6,0,6,6,0,22.75,0.17,999,999,-25,10.97,41.17
1,6,0,0,0,0,3,19.61,0.04,19.93,0.06,-560,10.98,41.01
1,0,0,0,0,0,0,20.54,0.03,21.4,0.07,-330,10.98,41.54
1,0,0,0,0,0,0,999,999,999,999,-249,10.99,41.37
1,0,0,0,0,0,0,21.67,0.18,21.7,0.16,-256,10.99,41.41
1,0,0,0,0,0,0,22.25,0.07,999,999,-369,10.99,41.5
1,0,0,0,0,0,0,18.8,0.01,19.4,0.03,-416,11,41.1
1,0,0,0,0,0,9,999,999,999,999,99999,11,41.39
1,0,0,0,0,0,0,999,999,999,999,99999,11.01,41.42
1,0,0,0,7,0,0,22.63,0.16,999,999,-148,11.01,41.24
1,0,0,0,0,0,2,20.93,0.09,22.24,0.22,-628,11.01,41.33
1,0,0,0,0,0,0,20.69,0.05,999,999,-297,11.01,41.08
1,0,0,0,0,0,0,18.29,0.01,18.68,0.02,-436,11.01,41.51
1,0,0,0,0,0,0,21.21,0.03,999,999,-63,11.02,41.44
1,0,0,0,0,0,0,20.5,0.06,21.09,0.12,21,11.03,41.53
1,0,0,0,0,0,0,999,999,999,999,-382,11.04,41.63
1,0,0,0,0,0,5,999,999,999,999,99999,11.04,41.4
1,0,0,0,0,0,0,22.53,0.18,999,999,-60,11.06,41.32
1,7,19,7,19,7,0,20.9,0.09,999,999,-184,11.06,40.95
1,0,0,0,0,0,0,999,999,999,999,-332,11.08,41.51
1,0,0,0,6,0,0,20.47,0.04,21.73,0.13,-430,11.1,41.55
1,0,0,0,7,0,5,999,999,23.4,0.47,-319,11.11,41.24
1,6,6,24,6,24,0,20.87,0.03,22.03,0.08,-206,11.11,41.58
1,6,6,24,6,24,0,22.15,0.18,999,999,-411,11.11,41.48
1,7,7,7,7,7,0,999,999,999,999,-177,11.12,41.36
5,6,6,24,6,24,0,21.45,0.03,22.6,0.14,-347,11.13,41.18
5,7,19,19,19,7,0,21.25,0.05,22.45,0.23,-86,11.13,40.74
1,0,0,0,0,0,0,20.7,0.06,22.3,0.22,-157,11.14,41.69
1,0,0,0,0,0,0,16.99,0.02,17.2,0.02,99999,11.14,41.64
1,0,0,0,0,0,0,22.02,0.17,22.33,0.26,-164,11.15,40.95
1,0,0,0,0,0,0,22.5,0.12,999,999,-381,11.16,41.46
1,0,0,0,0,0,0,20.71,0.07,21.31,0.1,-184,11.17,41.25
1,0,0,0,0,0,0,21.11,0.04,22.29,0.11,-295,11.18,41.73
1,6,0,0,6,24,0,999,999,999,999,-179,11.19,41.49
1,0,0,0,0,0,0,999,999,999,999,-130,11.24,41.49
1,0,0,0,0,0,0,21.02,0.03,21.8,0.09,-307,11.29,40.84
1,0,0,0,0,0,0,21.07,0.06,22.2,0.3,-120,11.29,41.38
1,0,0,0,0,0,0,20.97,0.04,21.91,0.1,-302,11.31,41.33
1,0,0,0,0,0,0,20.88,0.05,22.24,0.16,-354,11.31,41.59
1,0,0,0,0,0,0,23.21,0.25,999,999,-409,11.35,41.11
5,7,7,7,7,7,0,22.47,0.16,999,999,-238,9.98,41.25
5,6,6,6,6,6,0,21.6,0.08,999,999,33,10,41.02
5,9,7,7,7,7,5,999,999,999,999,-175,10.01,41.16
1,0,0,0,0,0,0,21.7,0.14,999,999,-89,10.11,41.31
5,12,12,12,9,1,0,999,999,999,999,-152,10.15,41.13
1,6,6,6,6,6,0,19.77,0.02,20.51,0.04,-93,10.22,40.9
1,6,6,6,6,6,0,20.69,0.06,21.33,0.12,-377,10.26,41.01
1,6,6,6,6,6,0,18.9,0.02,19.23,0.03,-132,10.28,40.88
1,6,6,6,6,7,0,21.12,0.03,23.29,0.21,99999,10.3,41.02
5,7,7,7,7,7,0,999,999,999,999,-75,10.31,41.57
5,6,6,6,6,6,1,21.5,0.16,999,999,-266,10.4,41.01
5,9,7,7,7,7,0,999,999,999,999,-488,10.41,41.51
3,6,6,6,6,6,0,20.94,0.07,999,999,-271,10.46,40.88
1,6,6,6,6,6,0,999,999,999,999,-681,10.46,41.27
1,6,6,6,6,6,5,999,999,999,999,99999,10.5,40.81
5,7,7,7,7,7,0,999,999,999,999,-382,10.5,41.64
1,7,7,7,7,0,0,999,999,999,999,-341,10.51,40.97
2,6,6,6,6,6,0,20.71,0.05,21.84,0.14,-561,10.53,41.16
1,7,7,7,7,7,0,21.84,0.08,999,999,-397,10.58,41.7
1,6,6,6,0,0,5,22.47,0.18,999,999,-212,10.64,41.52
3,6,6,6,6,6,0,21.04,0.06,21.64,0.11,-173,10.65,41.29
1,6,6,6,6,6,0,19.3,0.02,19.83,0.03,-463,10.71,41.32
3,6,6,6,6,6,9,19.79,0.03,20.14,0.04,-450,10.72,40.8
1,6,6,0,6,0,0,21.2,0.04,22.69,0.16,-407,10.72,41.27
1,6,6,6,6,6,0,21.6,0.11,999,999,-313,10.76,40.88
1,6,6,6,6,6,0,21,0.08,999,999,-437,10.76,41.68
5,7,7,7,7,7,5,999,999,999,999,99999,10.77,40.77
1,6,6,0,6,0,0,999,999,999,999,-9,10.78,41.2
1,6,6,6,6,6,0,19.07,0.02,19.42,0.03,-535,10.78,41.46
5,6,6,6,6,6,0,21.07,0.07,999,999,-411,10.82,40.93
1,6,6,6,6,6,0,999,999,999,999,-295,10.85,41.42
1,6,0,0,0,0,0,999,999,999,999,-380,10.86,41.62
5,6,6,6,6,6,0,999,999,999,999,-310,10.86,40.86
1,6,6,6,6,6,0,999,999,999,999,-231,10.91,41.52
5,6,6,6,6,7,5,999,999,999,999,99999,10.99,40.98
5,6,6,6,6,6,0,999,999,999,999,-368,11.01,41.04
1,6,0,0,6,0,0,22.82,0.14,999,999,-296,11.07,41.24
1,6,6,24,6,24,0,21.83,0.11,999,999,-303,11.1,41.58
1,6,6,0,6,0,0,19.61,0.02,20.05,0.04,-444,11.12,41.74
5,7,7,7,7,7,0,22,0.1,999,999,-480,11.11,40.84
1,0,0,0,0,0,0,999,999,999,999,-255,11.18,41.34
3,7,7,7,23,7,0,21.33,0.03,22.49,0.11,-342,11.18,40.74
1,6,0,0,0,0,1,999,999,999,999,-548,11.23,41.28
3,9,7,0,23,7,0,22.61,0.1,999,999,-49,11.24,40.97
5,9,9,1,9,1,0,999,999,999,999,-146,11.35,41.09
3,9,7,7,23,7,9,21.14,0.05,21.9,0.12,-552,11.36,40.99
1,6,6,6,6,7,0,999,999,999,999,-413,11.37,41.5
5,7,7,7,7,7,0,999,999,999,999,-307,11.42,41.11
1,18,19,19,19,29,0,21.3,0.04,22.68,0.15,-291,8.59,41.8
1,1,19,19,19,29,0,21.09,0.16,22.05,0.19,-395,8.59,41.47
1,13,19,19,19,29,0,999,999,999,999,-227,9.02,42.04
1,7,19,7,19,7,0,999,999,999,999,-243,9.07,40.97
1,7,19,7,19,29,0,22.09,0.15,999,999,-585,9.09,40.89
5,17,17,17,1,1,9,21.53,0.11,999,999,-127,9.14,40.41
1,7,7,7,7,29,0,999,999,999,999,-403,9.19,40.33
5,17,17,17,1,1,9,999,999,999,999,99999,9.2,40.51
5,16,14,14,1,1,0,21.28,0.04,999,999,-338,9.21,39.64
1,7,19,7,19,29,0,999,999,999,999,-115,9.5,40.73
5,1,19,19,19,1,0,999,999,20.25,0.06,-105,9.51,40.7
5,1,1,1,1,1,0,999,999,999,999,-526,9.58,39.67
1,6,6,6,6,6,5,23.06,0.47,999,999,-160,9.59,40.06
1,7,19,7,19,7,0,21.55,0.06,22.61,0.2,-481,9.64,41.35
1,6,6,6,6,6,9,20.81,0.05,22.04,0.14,-290,9.71,40.46
1,7,19,7,19,7,9,19,0.04,19.06,0.04,99999,9.74,41.17
1,6,6,6,6,6,0,20.34,0.08,20.74,0.1,-265,9.75,40.28
1,7,6,0,6,0,0,21.55,0.04,23.06,0.2,-351,9.79,40.57
1,6,6,0,6,0,9,23.11,2.47,999,999,198,9.83,40.55
5,6,6,6,6,6,0,23.46,0.24,999,999,-406,9.83,40.49
1,6,6,6,6,6,5,999,999,999,999,99999,9.85,40.24
1,7,19,7,19,7,0,20.47,0.03,21.02,0.06,-481,9.86,41.39
1,6,0,0,6,0,0,999,999,999,999,-532,9.89,40.52
1,7,7,7,7,7,0,23.02,0.37,999,999,-291,9.92,40.95
1,6,6,6,6,6,9,20.52,0.1,21.09,0.15,-500,9.94,40.88
1,6,6,6,7,29,0,21.53,0.1,999,999,-396,9.94,40.24
1,6,0,6,6,7,0,21.67,0.04,999,999,-325,9.95,40.53
1,6,0,6,0,0,9,21.25,0.15,999,999,-378,9.97,40.69
1,7,19,0,19,0,0,22.44,0.19,999,999,-209,9.98,41.8
1,0,0,0,0,0,0,999,999,999,999,-516,10,40.57
1,6,6,6,6,6,0,22.18,0.13,999,999,-661,10.01,40.57
5,7,7,7,7,7,0,999,999,999,999,-9,10.07,41.81
1,6,0,0,0,6,0,999,999,999,999,-215,10.06,40.46
1,6,0,0,0,0,0,21.16,0.05,21.98,0.13,-437,10.07,40.65
1,0,0,0,0,0,0,999,999,999,999,-83,10.08,40.55
1,18,18,18,9,0,5,999,999,999,999,-117,10.09,41.68
1,6,0,0,0,0,0,20.88,0.06,21.5,0.1,-258,10.1,40.51
3,9,9,9,9,9,0,21.36,0.09,22.12,0.19,-152,10.1,41.69
1,7,7,7,7,7,0,20.01,0.03,20.55,0.05,-519,10.1,40.61
1,7,7,0,7,0,0,22.94,0.22,999,999,-203,10.1,41.67
5,9,9,1,9,1,0,21.49,0.05,999,999,-205,10.1,41.79
1,7,7,0,7,0,0,999,999,21.98,0.23,-148,10.11,41.71
1,7,7,0,7,0,9,18.33,0.02,18.65,0.03,-390,10.11,41.7
3,1,1,1,1,1,0,999,999,999,999,-400,10.11,41.67
1,7,7,0,7,0,0,21.3,0.05,21.62,0.15,-97,10.12,41.67
1,6,6,6,6,6,5,999,999,999,999,99999,10.17,40.64
1,7,19,7,19,7,5,999,999,999,999,-166,10.2,42.15
1,7,19,7,19,29,0,21.37,0.05,22.61,0.11,-247,10.2,42.2
1,0,0,0,6,0,0,21.05,0.07,999,999,4,10.25,40.6
1,7,19,7,19,29,9,19.87,0.03,20.37,0.04,-479,10.25,39.93
5,1,19,19,19,1,9,20.57,0.03,21.28,0.07,-186,10.29,39.63
1,6,6,6,6,6,0,999,999,999,999,-437,10.29,40.6
1,6,0,0,0,0,0,22.23,0.14,22.37,0.19,-376,10.35,40.61
1,7,7,0,7,0,5,999,999,999,999,35,10.43,40.21
1,7,7,0,7,0,9,18.78,0.02,19.09,0.03,-581,10.51,41.87
1,7,7,7,7,7,9,21.1,0.05,999,999,-485,10.56,40.29
5,7,7,0,7,0,0,22.69,0.18,999,999,-489,10.58,40.51
1,7,7,0,7,0,0,19.94,0.03,20.5,0.05,-507,10.6,41.91
1,7,7,0,7,0,5,999,999,999,999,-343,10.6,41.87
1,6,6,6,6,6,0,999,999,999,999,-479,10.6,40.63
1,7,7,0,7,0,0,19,0.02,19.52,0.03,-389,10.62,40.41
1,7,19,7,19,7,9,19.9,0.03,20.67,0.06,-101,10.66,42.19
1,7,7,7,7,7,0,21.69,0.05,999,999,-283,10.66,42.04
4,9,9,9,9,9,0,21.71,0.05,22.8,0.16,-98,10.7,41.26
1,7,7,0,7,0,0,999,999,999,999,-222,10.7,42.01
3,13,14,0,9,0,0,999,999,999,999,-260,10.72,41.97
1,7,6,6,6,6,0,999,999,999,999,-514,10.79,41.84
1,7,19,7,19,29,9,999,999,999,999,99999,10.81,40.18
1,7,19,0,19,0,0,21.76,0.09,999,999,-215,10.82,39.82
5,1,19,19,19,1,9,21.59,0.14,999,999,-521,10.98,40.02
1,7,7,7,7,7,4,21.61,0.04,999,999,-609,10.99,40.23
3,0,0,0,0,0,9,999,999,999,999,-147,11.04,41.69
1,7,19,7,19,7,0,999,999,999,999,-476,11.07,40.56
5,1,19,19,19,1,0,21.43,0.09,999,999,-375,11.08,39.76
1,6,6,6,6,7,0,999,999,999,999,-439,11.15,42.29
1,0,0,0,0,0,0,999,999,999,999,-249,11.19,42.06
1,6,6,6,6,6,0,20.85,0.4,999,999,-773,11.2,42.09
1,6,0,0,6,6,0,999,999,999,999,-204,11.2,41.85
5,1,19,19,19,1,9,21.14,0.05,21.72,0.08,-114,11.3,39.88
1,0,0,0,0,0,9,999,999,999,999,99999,11.31,41.96
1,0,0,0,6,0,5,999,999,999,999,-69,11.36,41.73
1,6,6,6,6,6,9,21.15,0.05,22.61,0.23,-464,11.39,42.01
1,0,0,0,0,0,0,21.35,0.03,22.1,0.07,-196,11.42,41.76
1,6,0,0,0,0,5,21.29,0.07,999,999,-135,11.44,41.7
1,6,0,0,0,0,0,19.15,0.01,19.52,0.02,-122,11.44,41.66
1,6,6,0,0,0,9,20.56,0.05,20.94,0.07,-563,11.45,41.71
1,7,19,7,19,7,0,999,999,999,999,-294,11.45,40.63
